date,predicted_price,price_lower,price_upper,month,month_name,year,day_of_week,is_weekend,season,event
2022-01-01,208.92523498546302,187.31914952602864,230.6565873540905,1,Jan,2022,Saturday,True,Winter,No Major Event
2022-01-02,201.2011500586135,181.0549851454823,222.18663569249443,1,Jan,2022,Sunday,True,Winter,No Major Event
2022-01-03,161.71909916553673,140.41234179212293,184.59916370857297,1,Jan,2022,Monday,False,Winter,No Major Event
2022-01-04,159.2018855446591,135.9107709696633,181.17749971240602,1,Jan,2022,Tuesday,False,Winter,No Major Event
2022-01-05,154.21998281544273,134.1896025260157,177.2676065667394,1,Jan,2022,Wednesday,False,Winter,No Major Event
2022-01-06,154.9335988970026,133.97196177434867,175.95652804070002,1,Jan,2022,Thursday,False,Winter,No Major Event
2022-01-07,187.93358081504473,165.4992275905156,209.9672127579828,1,Jan,2022,Friday,True,Winter,No Major Event
2022-01-08,186.13010060410494,163.8807183651159,206.68063578476574,1,Jan,2022,Saturday,True,Winter,No Major Event
2022-01-09,180.36478643475687,158.706963269762,201.0921470986667,1,Jan,2022,Sunday,True,Winter,No Major Event
2022-01-10,142.97319037652684,121.88849236487333,163.78871431714833,1,Jan,2022,Monday,False,Winter,No Major Event
2022-01-11,142.66454016652418,121.23182208562288,165.292665322166,1,Jan,2022,Tuesday,False,Winter,No Major Event
2022-01-12,139.9485355930099,116.94540364768456,162.01021736766606,1,Jan,2022,Wednesday,False,Winter,No Major Event
2022-01-13,142.9451196143965,120.92420067288606,163.30782438788438,1,Jan,2022,Thursday,False,Winter,No Major Event
2022-01-14,178.21376442020428,156.72631939081145,199.85882584182374,1,Jan,2022,Friday,True,Winter,No Major Event
2022-01-15,178.5949455868829,157.64108213701726,199.77959727291653,1,Jan,2022,Saturday,True,Winter,No Major Event
2022-01-16,174.90527037250553,153.11672552486618,196.60251274692268,1,Jan,2022,Sunday,True,Winter,No Major Event
2022-01-17,139.43361717284483,119.00533788569236,160.46310951628337,1,Jan,2022,Monday,False,Winter,No Major Event
2022-01-18,140.88798097288813,117.78713762928693,163.38972174889707,1,Jan,2022,Tuesday,False,Winter,No Major Event
2022-01-19,139.7351425569726,119.37873142807025,162.90164123070784,1,Jan,2022,Wednesday,False,Winter,No Major Event
2022-01-20,144.07773284853474,122.8352056771988,165.80059171773874,1,Jan,2022,Thursday,False,Winter,No Major Event
2022-01-21,180.47137787559706,157.15617701291998,202.32246290824403,1,Jan,2022,Friday,True,Winter,No Major Event
2022-01-22,181.7183420380194,158.85368847723765,203.6050137598423,1,Jan,2022,Saturday,True,Winter,No Major Event
2022-01-23,178.6449513639912,156.3700623936802,199.91127089046253,1,Jan,2022,Sunday,True,Winter,No Major Event
2022-01-24,143.53063496374585,122.28722878165587,164.87336986745507,1,Jan,2022,Monday,False,Winter,No Major Event
